,0,1,Number
4,0.894416052,0.788385844,1
1,0.875251615,0.489147754,2
0,0.630840177,0.936172046,3
1,0.773217472,0.798956039,11
0,0.708674311,0.953,19
0,0.711197241,0.836321155,27
0,0.699924599,0.869749784,37
0,0.708100019,0.893894406,38
5,0.503911059,0.642900743,39
0,0.63429956,0.896346544,40
2,0.532479415,0.436180132,71
4,0.847403072,0.991592987,72
4,0.997756171,0.987859378,79
4,0.939325933,0.861435427,89
4,0.827428327,0.892293602,97
4,0.871273706,0.992000287,101
0,0.676684938,0.992183283,103
0,0.725861957,0.956865353,110
3,0.290137709,0.658663289,116
3,0.26716445,0.686150185,117
3,0.22214146,0.671001101,118
4,0.848293377,0.870633118,128
0,0.771082943,0.901511158,129
0,0.727787235,0.873484905,130
4,0.843459575,0.868671295,131
0,0.657561888,0.870846162,132
1,0.705882353,0.668715365,133
5,0.582509967,0.796422212,134
5,0.554035315,0.728494015,135
5,0.492086436,0.632705123,136
1,0.876262941,0.486095585,137
1,0.89306429,0.746114402,138
1,0.899614077,0.600047496,139
1,0.750757459,0.750604825,140
2,0.768425461,0.166969476,141
2,0.67904012,0.032395607999999965,142
2,0.47217649,0.16050085599999997,143
2,0.61892182,0.26983897600000006,144
4,0.845968402,0.857,20
4,0.96387952,0.966939574,28
1,0.758272606,0.733940988,44
0,0.691562038,0.976111773,70
4,0.888979592,0.940956945,83
4,0.873102069,0.818338596,91
1,0.840569149,0.719180151,102
4,0.992812067,0.998332524,106
4,0.972798818,0.98334106,113
4,0.959477168,0.931712431,123
4,0.910803865,0.925899747,124
4,0.93263996,0.845728895,125
4,0.911797291,0.89260136,126
4,0.927395109,0.978375882,4
1,0.83622562,0.737247146,8
4,0.872441652,0.835767336,10
0,0.607602245,0.957552952,16
1,0.906994595,0.60602888,18
4,0.818598262,0.963197134,21
4,0.964489691,0.928655249,29
4,0.824566989,0.996974261,80
4,0.880468815,0.939026473,88
4,0.837177203,0.91399065,96
0,0.688982801,0.996972568,99
4,0.968635006,0.924460585,105
4,0.971152036,0.984894947,112
0,0.542323502,0.975844155,145
0,0.654126421,0.981016981,146
0,0.691598943,0.967137933,147
0,0.551233817,0.976292492,148
0,0.641986461,0.982971473,149
2,0.524888198,0.29899412200000003,150
0,0.586961669,0.923507909,151
4,0.824270811,0.955130069,152
0,0.758041701,0.941017388,153
0,0.621291393,0.903518307,154
4,0.793099962,0.963409576,155
2,0.533261803,0.304691747,156
0,0.761714174,0.936,22
4,0.927419878,0.993320457,25
4,0.789740309,0.858106644,41
4,0.802443886,0.927006764,42
0,0.653972315,0.907550917,43
4,0.842072984,0.9881787,84
4,0.861887335,0.923001803,90
0,0.699432135,0.87565949,98
0,0.742631295,0.898601481,100
0,0.671417348,0.994003537,104
4,0.998475468,0.989206455,111
4,0.815504546,0.847400526,6
1,0.734685696,0.530951178,9
5,0.490672221,0.724352618,12
1,0.751477891,0.690410652,15
0,0.687658953,0.924269613,23
0,0.670870055,0.91378795,26
0,0.645673281,0.914085968,31
3,0.24955615799999997,0.496127692,46
3,0.211790561,0.611383352,47
3,0.051869076000000014,0.661035448,48
3,0.011960168999999965,0.680806964,49
3,0.06396004600000005,0.551539173,50
3,0.02122554200000004,0.520264011,51
3,0.21381321600000003,0.617326376,52
3,0.305262073,0.74227435,53
3,0.02212402999999996,0.620336981,54
3,0.13453286399999997,0.681582993,55
3,0.14462648599999994,0.388533393,56
3,0.18871238099999998,0.748120301,57
5,0.433325905,0.821713558,58
5,0.488564362,0.819581596,59
3,0.11356602100000002,0.618586382,60
2,0.766747377,-0.005924590999999979,73
0,0.68616423,0.979518442,74
0,0.651131824,0.861318459,78
5,0.555300199,0.850612442,94
4,0.940366187,0.97622906,115
0,0.555063843,0.913,24
1,0.68348237,0.685490494,45
4,0.810775973,0.947528839,76
5,0.632928207,0.782933654,95
0,0.71770221,0.97273756,114
2,0.619014009,0.15744934999999993,17
4,0.921905717,0.866922878,33
4,0.916078523,0.882092199,35
5,0.587799048,0.769922104,61
0,0.640811136,0.9933802,62
2,0.583001087,0.445209487,63
4,0.890821942,0.969831865,81
4,0.912169504,0.843321005,85
4,0.961692587,0.840332756,92
4,0.978093797,0.850828667,109
4,0.908019196,0.936616693,5
5,0.532132921,0.786037755,7
1,0.811440756,0.762427958,13
0,0.778568864,0.979108418,34
5,0.485100951,0.731530361,36
5,0.416998913,0.725516477,65
0,0.703003438,0.96419745,66
2,0.594435666,0.057031527000000026,67
4,0.868345649,0.989941861,68
0,0.775161503,0.99572514,77
4,0.930538741,0.983931608,82
4,0.918032787,0.985935911,86
4,0.804968232,0.855533492,93
4,0.865937579,0.998181314,107
0,0.655885106,0.978905256,108
