"Gate","Type","contrast","isREU","isSingular","estimate","conf.low","conf.high","adj.p.value"
"240","Adder 3 in 3 out","on-off within Output_Type1",TRUE,FALSE,0.938262222222219,0.795365901122035,1.0811585433224,5.19063327766796e-11
"240","Adder 3 in 3 out","on-off within Output_Type2",TRUE,FALSE,0.832530222222209,0.689633901122026,0.975426543322393,3.66548633934756e-10
"240","Adder 3 in 3 out","on-off within Output_Type3",TRUE,FALSE,0.815515666666649,0.672619345566466,0.958411987766833,5.11431089883156e-10
"240","Adder 3 in 3 out","Output2(on-off)_minus_Output1(on-off)",TRUE,FALSE,-0.10573200000001,-0.359589109526225,0.148125109526206,0.85848603529441
"240","Adder 3 in 3 out","Output3(on-off)_minus_Output1(on-off)",TRUE,FALSE,-0.12274655555557,-0.376603665081785,0.131110553970646,0.65442804164397
"240","Adder 3 in 3 out","Output3(on-off)_minus_Output2(on-off)",TRUE,FALSE,-0.0170145555555601,-0.270871665081775,0.236842553970654,1
"249","Half adder","on-off within Output_Type1",FALSE,FALSE,0.910799149350742,0.57327115232748,1.248327146374,0.00169764154704431
"249","Half adder","on-off within Output_Type2",FALSE,FALSE,0.874971138005719,0.485227378124887,1.26471489788655,0.00337489887550252
"249","Half adder","Output2(on-off)_minus_Output1(on-off)",FALSE,FALSE,-0.0358280113450235,-0.551410543187,0.479754520496953,0.856409209012507
"250","Half adder","on-off within Output_Type1",FALSE,FALSE,0.834400245568803,-0.178135717874302,1.84693620901191,0.084043503364028
"250","Half adder","on-off within Output_Type2",FALSE,FALSE,0.572926248516462,-0.596249573599645,1.74210207063257,0.24528056331008
"250","Half adder","Output2(on-off)_minus_Output1(on-off)",FALSE,FALSE,-0.261473997052341,-1.8081482291667,1.28520023506201,0.663244958879972
"251","Full adder","on-off within Output_Type1",FALSE,FALSE,0.611540997732745,0.0949881170039949,1.1280938784615,0.0241212245113568
"251","Full adder","on-off within Output_Type2",FALSE,FALSE,0.751710676215746,0.235157795486996,1.2682635569445,0.00805906576699462
"251","Full adder","Output2(on-off)_minus_Output1(on-off)",FALSE,FALSE,0.140169678483001,-0.59034641112649,0.870685768092491,0.683283250862783
"252","Full adder","on-off within Output_Type1",FALSE,FALSE,0.649296204642722,0.141734928084345,1.1568574812011,0.0164284110962822
"252","Full adder","on-off within Output_Type2",FALSE,FALSE,0.743094726024576,0.235533449466199,1.25065600258295,0.00777711456939134
"252","Full adder","Output2(on-off)_minus_Output1(on-off)",FALSE,FALSE,0.0937985213818544,-0.624001519662404,0.811598562426113,0.780715319283901
"253","Half adder","on-off within Output_Type1",FALSE,TRUE,1,0.897829014225069,1.10217098577493,7.28476169742379e-15
"253","Half adder","on-off within Output_Type2",FALSE,TRUE,1,0.897829014225069,1.10217098577493,7.28476169742384e-15
"253","Half adder","Output2(on-off)_minus_Output1(on-off)",FALSE,TRUE,-1.13642450835517e-17,-0.144491593763937,0.144491593763937,1
"254","Full adder","on-off within Output_Type1",FALSE,FALSE,0.999999999999997,0.876307287315842,1.12369271268415,6.11024924696965e-10
"254","Full adder","on-off within Output_Type2",FALSE,FALSE,1,0.857171958070016,1.14282804192998,3.20503392652354e-09
"254","Full adder","Output2(on-off)_minus_Output1(on-off)",FALSE,FALSE,2.61157608338868e-15,-0.188943739596519,0.188943739596525,0.999999999999976
"sc7","Full adder","on-off within Output_TypeRFP",TRUE,FALSE,0.0451396111111106,0.0140849506779036,0.0761942715443175,0.00811437729991681
"sc7","Full adder","on-off within Output_TypeYFP",TRUE,FALSE,0.398167722222223,0.367113061789016,0.42922238265543,2.73882188543825e-12
"sc7","Full adder","OutputYFP(on-off)_minus_OutputRFP(on-off)",TRUE,FALSE,0.353028111111112,0.30911018915158,0.396946033070645,6.52951573490604e-10
