"","Gate","Type","isREU","isSingular","estimate","conf.low","conf.high","adj.p.value"
"1","240","Adder 3 in 3 out, output 1",TRUE,FALSE,0.938262222222222,0.892819905267917,0.983704539176526,0
"2","240","Adder 3 in 3 out, output 2",TRUE,FALSE,0.832530222222463,0.68440085193603,0.980659592508896,0
"3","240","Adder 3 in 3 out, output 3",TRUE,FALSE,0.815515666666674,0.644324340125813,0.986706993207535,0
"4","241","3 input",TRUE,TRUE,0.0948631523809523,0.0936806025036157,0.0960457022582889,0
"5","242","4 input",TRUE,FALSE,0.0208037333333333,0.0200395928622442,0.0215678738044224,0
"6","243","4 input",TRUE,TRUE,0.363760666666667,0.356051978465217,0.371469354868116,0
"7","244","4 input",TRUE,FALSE,1.24137446666692,-0.170534916216825,2.65328384955067,0.0848463465569393
"8","245","6 input",TRUE,FALSE,0.0708390185248677,0.0699317217433826,0.0717463153063529,0
"9","246","3 input",FALSE,FALSE,0.989463027689935,0.0549006815768861,1.92402537380298,0.0379771116961805
"10","247","4 input",FALSE,FALSE,0.817939510391882,0.410638335004169,1.22524068577959,8.28555848628731e-05
"11","248","4 input",FALSE,FALSE,0.984553425205064,0.0352355811154736,1.93387126929465,0.0420816835093794
"12","249","Half adder, output 1",FALSE,FALSE,0.91079914935074,0.573834869568252,1.24776342913323,1.17274496114206e-07
"13","249","Half adder, output 2",FALSE,TRUE,0.874971138005718,0.833917488134933,0.916024787876504,4.13447054370408e-13
"14","250","Half adder, output 1",FALSE,FALSE,0.8344002455688,-0.176406958990935,1.84520745012854,0.105682134398405
"15","250","Half adder, output 2",FALSE,TRUE,0.572926248516465,0.241774099269357,0.904078397763572,0.00318663325316115
"16","251","Full adder, output 1",FALSE,FALSE,0.611540997732975,0.295073259521064,0.928008735944886,0.000152215628735242
"17","251","Full adder, output 2",FALSE,FALSE,0.751710676215765,0.175792947004175,1.32762840542736,0.0105208668654513
"18","252","Full adder, output 1",FALSE,FALSE,0.649296204642714,0.194974470490861,1.10361793879457,0.00509299272226027
"19","252","Full adder, output 2",FALSE,FALSE,0.743094726024572,0.284268073136107,1.20192137891304,0.00150214766903711
"20","253","Half adder, output 1",FALSE,FALSE,0.999999999999997,0.951153208121679,1.04884679187832,0
"21","253","Half adder, output 2",FALSE,TRUE,1,0.848097586707366,1.15190241329263,4.33382217890355e-08
"22","254","Full adder, output 1",FALSE,FALSE,0.999999999999998,0.843110460451132,1.15688953954886,0
"23","254","Full adder, output 2",FALSE,TRUE,1,0.963335414688781,1.03666458531122,0
"24","sc3","3 input Voigt YFP",TRUE,TRUE,0.1580006,0.105857088177367,0.210144111822633,2.52464830274857e-06
"25","sc35","3 input Voigt YFP",TRUE,TRUE,0.196491047619048,0.18903382721416,0.203948268023935,0
"26","sc38","3 input Voigt YFP",TRUE,FALSE,0.405659422222222,0.391840872417901,0.419477972026543,0
"27","sc39","3 input Voigt YFP",TRUE,TRUE,0.394095333333333,0.384850642119195,0.403340024547471,0
"28","sc40","3 input Voigt YFP",TRUE,TRUE,0.396536,0.366528846822522,0.426543153177478,0
"29","sc7","3 input Voigt YFP",TRUE,FALSE,0.398167722222226,0.358666058048289,0.437669386396163,0
"30","sc7","3 input Voigt RFP",TRUE,TRUE,0.0451396111111111,0.037596686794759,0.0526825354274632,2.07720507461318e-11
"31","sc8","3 input Voigt YFP",TRUE,TRUE,0.443570933333333,0.417577392868614,0.469564473798053,0
