"Group","Transformation","estimate","conf.low","conf.high","adj.p.value"
"0","None",0.890985589922128,-0.85199179955358,2.63396297939784,0.316388949437097
"0","Turn on",14.4212419823114,-13.7900994686691,42.6325834332919,0.316388949473097
"0","On ratio",0.425538530294216,-0.406914929187131,1.25799198977556,0.316388949453514
"1","None",0.674171958510462,0.220485554125753,1.12785836289517,0.0035857070875347
"1","Turn on",3.01036568047665,0.984529446528964,5.03620191442433,0.00358570708761774
"1","On ratio",0.522761645010531,0.170967346713193,0.87455594330787,0.00358570708765682
"2","None",0.217756061306011,-0.0798874874799914,0.515399610092014,0.151597970290674
"2","Turn on",0.326458043172984,-0.119766644745346,0.772682731091313,0.151597970285867
"2","On ratio",0.179148846076432,-0.065723778761296,0.42402147091416,0.1515979702847
"3","None",0.660840386024922,-1.3886535872032,2.71033435925304,0.527404998084478
"3","Turn on",1.8546116568341,-3.89717951996204,7.60640283363025,0.527405051130546
"3","On ratio",0.309725618678095,-0.650840353717051,1.27029159107324,0.527404997541199
"4","None",0.893261388844935,0.377862804469453,1.40865997322042,0.000681525635924496
"4","Turn on",12.6129386481559,5.33545995571942,19.8904173405923,0.000681525635951585
"4","On ratio",0.673254872374447,0.284796787794858,1.06171295695404,0.000681525635776392
"5","None",0.696284157470847,-0.447246294305215,1.83981460924691,0.23271185452565
"5","Turn on",2.69486229518,-1.7309989609098,7.1207235512698,0.232711851175122
"5","On ratio",0.37438855604609,-0.240482125758277,0.989259237850457,0.23271185452402
